#{"t_start": 1592624735.5580854, "env_id": "gvgai-waterpuzzle-lvl0-v0"}
r,l,t
5.0,1500,73.820706
5.0,1500,173.916504
0.0,1500,273.106721
0.0,1500,340.500289
0.0,1500,439.57646
0.0,1500,538.780544
0.0,1500,638.847203
0.0,1500,705.720859
0.0,1500,805.57723
0.0,1500,910.167739
0.0,1500,1012.576863
0.0,1500,1080.096396
0.0,1500,1181.528249
0.0,1500,1283.277477
0.0,1500,1353.319381
0.0,1500,1458.699928
0.0,1500,1589.101417
0.0,1500,1719.205284
0.0,1500,1806.056922
0.0,1500,1957.033985
5.0,1500,2101.504321
0.0,1500,2258.042035
0.0,1500,2347.368397
0.0,1500,2511.686666
0.0,1500,2668.593608
0.0,1500,2836.539229
0.0,1500,2962.312641
0.0,1500,3109.816082
0.0,1500,3267.448711
0.0,1500,3347.19666
0.0,1500,3485.065719
0.0,1500,3623.70968
0.0,1500,3770.789872
0.0,1500,3851.501629
0.0,1500,3992.308964
0.0,1500,4131.648713
0.0,1500,4273.477711
0.0,1500,4353.644794
0.0,1500,4503.076749
0.0,1500,4648.657099
0.0,1500,4793.549429
0.0,1500,4875.211999
0.0,1500,5021.60081
0.0,1500,5161.004704
0.0,1500,5242.604677
0.0,1500,5380.913097
0.0,1500,5516.048236
0.0,1500,5656.047731
0.0,1500,5741.116534
0.0,1500,5898.703393
0.0,1500,6040.276164
0.0,1500,6187.738016
0.0,1500,6270.848606
0.0,1500,6411.353125
